ein,org_name_display,org_addr_full,ntee_code_major_group,ntee_code_definition,geo_match_addr,geo_county,geo_lat,geo_lon
39-4700365,Heritage And Horizons,"819 DERWENT PL, KNIGHTDALE, NC 27545-7588","Arts, Culture and Humanities","Cultural, Ethnic Awareness","819 Derwent Pl, Knightdale, North Carolina, 27545",Wake County,35.7776614837843,-78.5129525306711
39-4782530,Bright Beginnings International Fou Ndation,"9021 RIV HAWK LNDG, WILLOW SPRING, NC 27592-3319",Employment,Job Training,"27592, Willow Spring, North Carolina",Wake County,35.5505900000001,-78.7227917
39-4787112,Teen Tank,"4801 GLENWOOD AVE STE 200, RALEIGH, NC 27612-3857",UNDEFINED,UNDEFINED,"4801 Glenwood Ave, Ste 200, Raleigh, North Carolina, 27612",Wake County,35.8434643865777,-78.6821791212995
39-4843718,Coded Horse Rescue,"9904 MIRANDA DR, RALEIGH, NC 27617-7659",Animal-Related,Animal Protection and Welfare,"9904 Miranda Dr, Raleigh, North Carolina, 27617",Wake County,35.9153400915807,-78.7433338276587
39-4852112,Ox Society Collective,"3212 LEEBROOK RD, RALEIGH, NC 27616-6817",Human Services,Human Service Organizations,"3212 Leebrook Rd, Raleigh, North Carolina, 27616",Wake County,35.8702119744648,-78.5045016896822
39-4854823,Kinder Foundation,"212 W MILLBROOK RD, RALEIGH, NC 27609-4304","Food, Agriculture and Nutrition",Food Programs,"212 W Millbrook Rd, Raleigh, North Carolina, 27609",Wake County,35.8562852209589,-78.6430334650297
39-4855574,Becoming Church,"2908 MEADOWVIEW CT, APEX, NC 27539-9752",Religion-Related,Protestant,"2908 Meadowview Ct, Apex, North Carolina, 27539",Wake County,35.6884600832994,-78.7600395959371
39-4869364,Hand Of The King,"706 REDFORD PL DR, ROLESVILLE, NC 27571-9703",Human Services,Human Service Organizations,"706 Redford Place Dr, Rolesville, North Carolina, 27571",Wake County,35.904145011397,-78.4675773126551
39-4889238,Balsam Peak Media,"1788 ASPEN RIV LN, APEX, NC 27502-4495","Arts, Culture and Humanities","Media, Communications Organizations","Aspen River Ln, Apex, North Carolina, 27502",Wake County,35.7206742632687,-78.8800508683657
39-4895076,Godmade Ministry,"4912 ALPINIS DR STE 100, RALEIGH, NC 27616-1916",Religion-Related,Christianity,"4912 Alpinis Dr, Ste 100, Raleigh, North Carolina, 27616",Wake County,35.8496936303019,-78.59799346151
39-4901882,Verde Nexus Foundation,"4801 GLENWOOD AVE STE 200, RALEIGH, NC 27612-3857","International, Foreign Affairs and National Security",International Development,"4801 Glenwood Ave, Ste 200, Raleigh, North Carolina, 27612",Wake County,35.8434643865777,-78.6821791212995
39-4902084,Maynor Foundation,"4030 WAKE FRST RD STE 300, RALEIGH, NC 27609-6800",Community Improvement and Capacity Building,"Community, Neighborhood Development","4030 Wake Forest Rd, Ste 300, Raleigh, North Carolina, 27609",Wake County,35.8360969264241,-78.6140900488201
39-4912123,Enough Period,"4026 VESTA DR, RALEIGH, NC 27603-3848",Youth Development,Youth Development Programs,"4026 Vesta Dr, Raleigh, North Carolina, 27603",Wake County,35.7198346716774,-78.650607031248
39-4927070,Nelson Chamisa Nc Foundation,"5540 CENTERVIEW DR, RALEIGH, NC 27606-3363",Human Services,Fund Raising and Fund Distribution,"5540 Centerview Dr, Raleigh, North Carolina, 27606",Wake County,35.7628557613249,-78.7314257228052
39-4951951,Gabby Mayo Foundation,"5312 SIX FRKS RD STE 301, RALEIGH, NC 27609-4458",Youth Development,Youth Development Programs,"5312 Six Forks Rd, Ste 301, Raleigh, North Carolina, 27609",Wake County,35.8545888034798,-78.6421032780602
39-5004388,Carerestores Foundation,"116 RIV PEARL ST, RALEIGH, NC 27603-4145",Human Services,"Children's, Youth Services","116 River Pearl St, Raleigh, North Carolina, 27603",Wake County,35.6627476208668,-78.6663370041836
39-5017898,Snacks For Kids,"964 HIGH HOUSE RD PMB 3071, CARY, NC 27513-3574","Food, Agriculture and Nutrition",Food Programs,"964 High House Rd, Cary, North Carolina, 27513",Wake County,35.7877609367819,-78.8276090274112
39-5039364,National Autism Safety Council,"422 WARREN AVE, CARY, NC 27511-4066",Human Services,Human Service Organizations,"422 Warren Ave, Cary, North Carolina, 27511",Wake County,35.7837277055225,-78.7732161567894
39-5053420,Vertical Healing Foundation,"352 MAILMAN RD, KNIGHTDALE, NC 27545-8428","Food, Agriculture and Nutrition","Food Banks, Pantries","352 Mailman Rd, Knightdale, North Carolina, 27545",Wake County,35.7812493316695,-78.4611752240173
39-5080624,Kingdom Re-Entry Services,"5540 CENTERVIEW DR 204 431609, RALEIGH, NC 27606-8012","Philanthropy, Voluntarism and Grantmaking Foundations",Community Foundations,"5540 Centerview Dr, Ste 204, Raleigh, North Carolina, 27606",Wake County,35.7628557613249,-78.7314257228052
39-5086157,Shiny Stars,"123 WOOD ORCHID LN, GARNER, NC 27529-3263","Philanthropy, Voluntarism and Grantmaking Foundations",Community Foundations,"27529, Garner, North Carolina",Wake County,35.7064651000001,-78.6164897
39-5088031,Ncfglobal,"5540 CENTERVIEW DR, RALEIGH, NC 27606-3363",Youth Development,"Professional Societies, Associations","5540 Centerview Dr, Raleigh, North Carolina, 27606",Wake County,35.7628557613249,-78.7314257228052
39-5117956,Guided Growth Project,"10117 BARNHART WAY, RALEIGH, NC 27617-8220",Youth Development,Youth Development Programs,"10117 Barnhart Way, Raleigh, North Carolina, 27617",Wake County,35.8995188875873,-78.8044602767325
39-5132505,Redbud Writing Project Community Or Ganization,"619 BROOKS AVE, RALEIGH, NC 27607-7152","Arts, Culture and Humanities",Arts Education,"619 Brooks Ave, Raleigh, North Carolina, 27607",Wake County,35.796267,-78.6726889868427
39-5153236,Lotv Ministry,"2905 NEW HALL CT, RALEIGH, NC 27615-3972",Religion-Related,Religion Related N.E.C.,"2905 New Hall Ct, Raleigh, North Carolina, 27615",Wake County,35.8999923239078,-78.5900599000808
39-5165025,L Ecole Fisr PTA,"5510 MUNFORD RD, RALEIGH, NC 27612-2621",Education,Parent/Teacher Group,"5510 Munford Rd, Raleigh, North Carolina, 27612",Wake County,35.8570790596401,-78.7002875926485
41-0820466,PTA North Carolina Congress,"638 WALNUT ST, CARY, NC 27511-4224",UNDEFINED,UNDEFINED,"638 Walnut St, Cary, North Carolina, 27511",Wake County,35.7726869135848,-78.7647078357948
41-1906549,Maitrhea,"2600 SALISBURY PLN, RALEIGH, NC 27613-4331","Philanthropy, Voluntarism and Grantmaking Foundations",Private Operating Foundations,"2600 Salisbury Pln, Raleigh, North Carolina, 27613",Wake County,35.891100218997,-78.6827852634892
41-2131709,Abf Ministries,"3409 LA COSTA WAY, RALEIGH, NC 27610-8273","Food, Agriculture and Nutrition","Food Banks, Pantries","3409 La Costa Way, Raleigh, North Carolina, 27610",Wake County,35.7246726153555,-78.5258917059552
41-2131714,Visions Institute For Youth,"1640 N MARKET DR, RALEIGH, NC 27609-2517",Youth Development,Youth Development Programs,"1640 N Market Dr, Raleigh, North Carolina, 27609",Wake County,35.8399674293383,-78.6082966485081
41-2188619,Garner Revitalization Association,"120 E MAIN ST, GARNER, NC 27529-3238",Community Improvement and Capacity Building,"Community, Neighborhood Development","120 E Main St, Garner, North Carolina, 27529",Wake County,35.7066116941256,-78.6046761612614
41-2188693,Pan-Educational Services,"1220 GOODWIN RD, APEX, NC 27523-6778",Human Services,Human Service Organizations,"1220 Goodwin Rd, Apex, North Carolina, 27523",Wake County,35.7511141129896,-78.9243989785319
41-2195938,Jlbc Community Alliance,"9109 SAULS RD, RALEIGH, NC 27603-9242",Human Services,Neighborhood Centers,"9109 Sauls Rd, Raleigh, North Carolina, 27603",Wake County,35.631239364418,-78.6414369992789
41-2218648,One Percent,"118 S PERSON ST, RALEIGH, NC 27601-1422",Human Services,Personal Social Services,"118 S Person St, Raleigh, North Carolina, 27601",Wake County,35.7784687821282,-78.6349295587452
41-2268637,Leevin Community Health And Development,"121 DUMBLEDORE CT, CARY, NC 27519-7524","International, Foreign Affairs and National Security",International Relief,"121 Dumbledore Ct, Cary, North Carolina, 27519",Wake County,35.8093717327312,-78.9209769424373
41-2280632,Rush Metropolitan Ame Zion Church,"554 E CABARRUS ST STE 558, RALEIGH, NC 27601-1962",Religion-Related,Christianity,"554 E Cabarrus St, Raleigh, North Carolina, 27601",Wake County,35.7739534881704,-78.630309
41-2284539,Global Mental Health Education Inst Itute,"101 ECKLIN LN, CARY, NC 27519-9520",Mental Health and Crisis Intervention,Mental Health Disorders,"101 Ecklin Ln, Cary, North Carolina, 27519",Wake County,35.8137761693115,-78.8570670926772
41-2301469,North Carolina Livestock Un,"3640 LEGATO LN, WAKE FOREST, NC 27587-7495",Animal-Related,Other Services - Specialty Animals,"3640 Legato Ln, Wake Forest, North Carolina, 27587",Wake County,36.0101850972124,-78.5256868353391
41-2302638,One Heart Many Hands,"1304 DIAMOND VLY DR, CARY, NC 27513-5807",Human Services,Homeless Centers,"1304 Diamond Valley Dr, Cary, North Carolina, 27513",Wake County,35.7638075203993,-78.8359449110737
41-2308256,A Dragonflys Dream,"1304 LEGENDARY LN, MORRISVILLE, NC 27560-7104",Mental Health and Crisis Intervention,"Eating Disorder, Addiction","1304 Legendary Ln, Morrisville, North Carolina, 27560",Wake County,35.8636679259045,-78.8511428051819
41-2316708,Ashtons Hope Foundation,"3064 WAKE FRST RD STE 1303, RALEIGH, NC 27609-7844",Animal-Related,Animal Protection and Welfare,"3064 Wake Forest Rd, Raleigh, North Carolina, 27609",Wake County,35.8241567379254,-78.6218525135623
41-2327193,Bright Future Forward Foundation Nf P,"500 PENDLETON LK RD, RALEIGH, NC 27614-9092",Religion-Related,Christianity,"500 Pendleton Lake Rd, Raleigh, North Carolina, 27614",Wake County,35.9460906986263,-78.6291471661958
41-2336354,Fresh Roots Renewal Ministries,"4030 WAKE FRST RD STE 349, RALEIGH, NC 27609-0010",Religion-Related,Protestant,"4030 Wake Forest Rd, #349, Raleigh, North Carolina, 27609",Wake County,35.8360969264241,-78.6140900488201
41-2360666,Ignition Endowment,"500 PENDLETON LK RD, RALEIGH, NC 27614-9092",Religion-Related,Christianity,"500 Pendleton Lake Rd, Raleigh, North Carolina, 27614",Wake County,35.9460906986263,-78.6291471661958
41-2393426,Women On Mission International,"401 FIREFLY RD, HOLLY SPRINGS, NC 27540-8394",Human Services,Human Service Organizations,"401 Firefly Rd, Holly Springs, North Carolina, 27540",Wake County,35.6778225262277,-78.8265922647587
41-2420878,Bharat Learning Foundation,"500 PENDLETON LK RD, RALEIGH, NC 27614-9092",Religion-Related,Christianity,"500 Pendleton Lake Rd, Raleigh, North Carolina, 27614",Wake County,35.9460906986263,-78.6291471661958
41-2423747,Lifft Leaders Inspiring Female Futu Re Trailblazers Foundation,"503 PEEBLES ST, RALEIGH, NC 27608-1733",Community Improvement and Capacity Building,Women's Service Clubs,"503 Peebles St, Raleigh, North Carolina, 27608",Wake County,35.8116039625482,-78.6333440430204
41-2430914,Kappa Lambda Chapter Of Omega Psi P Hi Fraternity,"5261 TALLEY STUDENT UN, RALEIGH, NC 27695-0001",Education,"Student Sororities, Fraternities","27695, Raleigh, North Carolina",Wake County,35.78551,-78.64267
41-2431318,Polaris Nova Learning,"400 WAKE FRST RD, RALEIGH, NC 27609-0000",Education,Educational Services and Schools - Other,"Wake Forest Rd, Raleigh, North Carolina, 27609",Wake County,35.8337612090993,-78.6163585888926
41-2445759,Carolina Girls Baseball,"4030 WAKE FRST RD STE 349, RALEIGH, NC 27609-0010",Recreation and Sports,"Baseball, Softball","4030 Wake Forest Rd, #349, Raleigh, North Carolina, 27609",Wake County,35.8360969264241,-78.6140900488201
41-2455899,Twin-Flames Research Initiative,"200 INDIAN BR DR, MORRISVILLE, NC 27560-9436",Religion-Related,Research Institutes and Public Policy Analysis,"200 Indian Branch Dr, Morrisville, North Carolina, 27560",Wake County,35.8280845772982,-78.8341114626924
41-2460534,Violet Ballet Dance,"3208 FERDILAH LN, RALEIGH, NC 27610-5956","Arts, Culture and Humanities",Dance,"3208 Ferdilah Ln, Raleigh, North Carolina, 27610",Wake County,35.7373444299152,-78.6127443408447
41-2460551,Refugio Salt Collective,"405 S W ST, CARY, NC 27511-3239",Health Care,Health Support Services,"27511-3239, Cary, North Carolina",Wake County,35.781732,-78.78573
41-2514890,Anfiqou Foundation,"500 ML HOPPER LN, APEX, NC 27502-1657","International, Foreign Affairs and National Security",International Relief,"500 Mill Hopper Ln, Apex, North Carolina, 27502",Wake County,35.7327775542444,-78.841948243407
41-2579112,Bridge And Bloom International Foun Dation,"4030 WAKE FRST RD STE 349, RALEIGH, NC 27609-0010",Education,Parent/Teacher Group,"4030 Wake Forest Rd, #349, Raleigh, North Carolina, 27609",Wake County,35.8360969264241,-78.6140900488201
41-2663847,Bible Study Amongst Friends,"1740 GRASSY FLS LN, WENDELL, NC 27591-3319",Religion-Related,Christianity,"27591, Wendell, North Carolina",Wake County,35.7819850000001,-78.36634
41-2667486,Raleigh Blind Bowlers Association,"5709 SETTER CIR, RALEIGH, NC 27609-4139",Human Services,Blind/Visually Impaired Centers,"5709 Setter Cir, Raleigh, North Carolina, 27609",Wake County,35.8586690172253,-78.605231216227
41-2678942,Fostering Joy Foundation,"8480 HONEYCUTT RD STE 200, RALEIGH, NC 27615-2261",Human Services,Foster Care,"8480 Honeycutt Rd, Ste 200, Raleigh, North Carolina, 27615",Wake County,35.894863874834,-78.6225436846045
41-2680704,Mountains To Sea Football Club,"1912 BOAZ RD, RALEIGH, NC 27610-4006",Recreation and Sports,Soccer,"1912 Boaz Rd, Raleigh, North Carolina, 27610",Wake County,35.7550343016908,-78.6260515370764
41-2682004,The Jenick Foundation,"1133 LATTIMORE DR, RALEIGH, NC 27614-7248",Housing and Shelter,Fund Raising and Fund Distribution,"1133 Lattimore Dr, Raleigh, North Carolina, 27614",Wake County,35.9443126122398,-78.6680331067285
41-2690196,Everyday Kindness,"3121 LEBRUN PATH, FUQUAY VARINA, NC 27526-7683",Human Services,Human Service Organizations,"3121 Lebrun Path, Fuquay Varina, North Carolina, 27526",Wake County,35.6407059838712,-78.7558014607019
41-2699341,Divo Foundation,"2719 FT FISHER TRCE, APEX, NC 27502-8522",Public and Societal Benefit,"Public, Society Benefit N.E.C.","2719 Fort Fisher Trce, Apex, North Carolina, 27502",Wake County,35.7120528989843,-78.9139552136013
41-2727046,The Kindness Crate,"2425 HAVENFAIRE LN, WAKE FOREST, NC 27587-3472",Human Services,Human Services N.E.C.,"2425 Havenfaire Ln, Wake Forest, North Carolina, 27587",Wake County,35.9054118440187,-78.5110857296441
41-2737046,Global Relief Network,"1125 RIV CHASE DR, RALEIGH, NC 27610-9708","International, Foreign Affairs and National Security",International Relief,"1125 River Chase Dr, Raleigh, North Carolina, 27610",Wake County,35.7200002969876,-78.4693602574011
41-2741110,Servants Heart Outreach,"421 WAYFIELD LN, CARY, NC 27518-6371",Human Services,Human Service Organizations,"421 Wayfield Ln, Cary, North Carolina, 27518",Wake County,35.6935404429856,-78.7976522231519
41-2742634,Gaoyang Kindpath Foundation,"9113 CLB HL DR, RALEIGH, NC 27617-8433","Philanthropy, Voluntarism and Grantmaking Foundations",Private Grantmaking Foundations,"9113 Club Hill Dr, Raleigh, North Carolina, 27617",Wake County,35.9079335112241,-78.7925787747706
41-2753150,American Real Estate Bar Associatio N,"5 W HARGETT ST, RALEIGH, NC 27601-1357",Community Improvement and Capacity Building,Chambers of Commerce & Business Leagues,"5 W Hargett St, Raleigh, North Carolina, 27601",Wake County,35.77826081958,-78.6395727135726
41-2764632,The Eve Foundation,"3722 NOVA STAR LN, RALEIGH, NC 27612-4595","Arts, Culture and Humanities",Arts Council/Agency,"27612, Raleigh, North Carolina",Wake County,35.858373,-78.7139553
41-2770015,Dar Al Baqa,"600 E CHATHAM ST STE D, CARY, NC 27511-6948","Arts, Culture and Humanities",Fund Raising and/or Fund Distribution,"600 E Chatham St, Ste D, Cary, North Carolina, 27511",Wake County,35.7913307404355,-78.7679443247159
41-2782784,Steps Of Joy,"102 W SEVE CT, MORRISVILLE, NC 27560-8773",Youth Development,Youth Development Programs,"102 W Seve Ct, Morrisville, North Carolina, 27560",Wake County,35.8098557940734,-78.839105167811
41-2785701,Abune Aregawi Eritrean Orthodox Tew Ahdo Church Raleigh North Carolina,"107 BLACK ANGUS RUN, CARY, NC 27513-5403",Religion-Related,Christianity,"107 Black Angus Run, Cary, North Carolina, 27513",Wake County,35.8076932584107,-78.7695049978939
41-2811622,Triangle Scholarship Organization,"106 WHEATSBURY DR, CARY, NC 27513-9412",Education,"Scholarships, Student Financial Aid Services, Awards","106 Wheatsbury Dr, Cary, North Carolina, 27513",Wake County,35.7831202301055,-78.8433972547753
41-2844101,Affordable Housing Solutions I,"160 MINE LK CT STE 200, RALEIGH, NC 27615-6417",Housing and Shelter,"Housing Development, Construction, Management","160 Mine Lake Ct, #200, Raleigh, North Carolina, 27615",Wake County,35.8761196916727,-78.6437055779333
41-2848915,North Carolina Chinese American Soc Iety,"113 BROOKBANK HL PL, CARY, NC 27519-8397",Community Improvement and Capacity Building,"Community, Neighborhood Development","113 Brookbank Hill Pl, Cary, North Carolina, 27519",Wake County,35.8141677166311,-78.9150786113162
41-2925479,Faith-Based Framework,"226 ASHVILLE AVE, CARY, NC 27518-6660",Religion-Related,Christianity,"226 Ashville Ave, Cary, North Carolina, 27518",Wake County,35.7396144182871,-78.7849392510531
41-2935198,Franci Foundation,"5009 BOYLSTON DR, FUQUAY VARINA, NC 27526-3406",Health Care,"Ambulatory Health Center, Community Clinic","5009 Boylston Dr, Fuquay Varina, North Carolina, 27526",Wake County,35.6394952467252,-78.7584637648742
41-2935897,Aegis Charity,"1103 MANCHESTER DR, CARY, NC 27511-4809","Arts, Culture and Humanities","Cultural, Ethnic Awareness","1103 Manchester Dr, Cary, North Carolina, 27511",Wake County,35.7713682212187,-78.7506264196148
41-2940648,Doug Elks Ministries,"2505 BLOOMING ST, RALEIGH, NC 27612-6066",Religion-Related,Christianity,"2505 Blooming St, Raleigh, North Carolina, 27612",Wake County,35.8456984690404,-78.6770534074384
41-2957455,Trenches Elite Athletics,"10710 NICKLEBY WAY APT 301, RALEIGH, NC 27614-6642",Recreation and Sports,Football,"10710 Nickleby Way, Apt 301, Raleigh, North Carolina, 27614",Wake County,35.941519926193,-78.5465707209302
41-3005390,Veterans Alliance For The Brave,"6718 HOLLY SPGS RD, RALEIGH, NC 27606-4318",Human Services,Homeless Centers,"6718 Holly Springs Rd, Raleigh, North Carolina, 27606",Wake County,35.7348029922384,-78.7452559235672
41-3027805,G I 2 A I Foundation,"5540 CENTERVIEW DR 204 364182, RALEIGH, NC 27606-8012",Public and Societal Benefit,"Military, Veterans' Organizations","5540 Centerview Dr, Ste 204, Raleigh, North Carolina, 27606",Wake County,35.7628557613249,-78.7314257228052
41-3037837,Careglobal,"2201 WEAVER FRST WAY, MORRISVILLE, NC 27560-6560",Education,Educational Services and Schools - Other,"2201 Weaver Forest Way, Morrisville, North Carolina, 27560",Wake County,35.8591927760635,-78.847037946993
41-3038910,Sarva Krupanidhi International Mini Stries,"1810 TOURAINE CT, FUQUAY VARINA, NC 27526-4564",Human Services,Human Services N.E.C.,"27526, Fuquay Varina, North Carolina",Wake County,35.5887000000001,-78.799275
41-3069436,Right Meow Community Cat Allies,"205 SHADY PORCH CT, HOLLY SPRINGS, NC 27540-7338",Animal-Related,Animal Protection and Welfare,"205 Shady Porch Ct, Holly Springs, North Carolina, 27540",Wake County,35.6378199991633,-78.8621913148481
41-3079260,Ormondroyd Foundation,"116 ECHO CRK PL, APEX, NC 27539-4180","Philanthropy, Voluntarism and Grantmaking Foundations",Private Grantmaking Foundations,"116 Echo Creek Pl, Apex, North Carolina, 27539",Wake County,35.6698970471753,-78.8141424002537
41-3092273,Namaste Nations,"112 LEAFY HOLLY DR, HOLLY SPRINGS, NC 27540-5916","Arts, Culture and Humanities","Cultural, Ethnic Awareness","112 Leafy Holly Dr, Holly Springs, North Carolina, 27540",Wake County,35.6415290244387,-78.8651095825496
41-3125640,Larry Pickett Foundation,"4729 ROYAL TROON DR, RALEIGH, NC 27604-5845",UNDEFINED,UNDEFINED,"4729 Royal Troon Dr, Raleigh, North Carolina, 27604",Wake County,35.8075597671532,-78.5510971809683
41-3179882,Bea Bridge,"130 TRINITY GRV DR, CARY, NC 27513-6272",Health Care,"Health, General and Financing","130 Trinity Grove Dr, Cary, North Carolina, 27513",Wake County,35.7996788473656,-78.7536091522304
41-3216499,Nc Affordable Community Housing Organization,"3700 WESTERN BLVD, RALEIGH, NC 27606-5106",Housing and Shelter,Low-Income & Subsidized Rental Housing,"3700 Western Blvd, Raleigh, North Carolina, 27606",Wake County,35.7849937177562,-78.6874254410237
41-3223273,Fragrance Empowerment,"4400 OLD POOLE RD, RALEIGH, NC 27610-3033",Human Services,Human Service Organizations,"4400 Old Poole Rd, Raleigh, North Carolina, 27610",Wake County,35.7631388117611,-78.5651686817181
41-3277269,Lupita Foundation,"2300 BRIGHTCREEK FLS TRL APT 107, RALEIGH, NC 27610-9061",Education,"Remedial Reading, Reading Encouragement","107 N Raleigh Blvd, Raleigh, North Carolina, 27610",Wake County,35.7801515947268,-78.6135587956986
41-3348817,Mt Pleasant Christian School,"4030 WAKE FRST RD STE 349, RALEIGH, NC 27609-0010",Education,"Elementary, Secondary Education, K - 12","4030 Wake Forest Rd, #349, Raleigh, North Carolina, 27609",Wake County,35.8360969264241,-78.6140900488201
41-3496043,Pack Attack Motorsports,"CAMPUS BOX 7295 2710 CATES AVE, RALEIGH, NC 27695-0001",Recreation and Sports,Amateur Sports,"2710 Cates Ave, Raleigh, North Carolina, 27607",Wake County,35.7848193562497,-78.6744935739584
41-3514641,Ashleys Angel Rescue,"7005 SPANGLERS SPG WAY, RALEIGH, NC 27610-5272",Environment,Recycling Programs,"7005 Spanglers Spring Way, Raleigh, North Carolina, 27610",Wake County,35.7264376017369,-78.534932342778
41-3518521,Creekworks Collective,"1008 GRN OAKS PKWY, HOLLY SPRINGS, NC 27540-7971",Community Improvement and Capacity Building,"Community, Neighborhood Development","1008 Green Oaks Pkwy, Holly Springs, North Carolina, 27540",Wake County,35.663832532633,-78.8729831935773
41-3523626,Carolina Gold Athletics,"112 WATER DEER CT, GARNER, NC 27529-7199",Recreation and Sports,Amateur Sports,"112 Water Deer Ct, Garner, North Carolina, 27529",Wake County,35.657244,-78.594093
41-3545225,Crumbs To Moguls Project,"824 CROWN XING LN, RALEIGH, NC 27610-4063",Youth Development,Youth Development Programs,"824 Crown Crossing Ln, Raleigh, North Carolina, 27610",Wake County,35.7441795176007,-78.62571
41-3550260,Surgical Health Alliance Reflecting Empathy,"4408 DREWBRIDGE WAY, RALEIGH, NC 27604-6504",Environment,"Professional Societies, Associations","4408 Drewbridge Way, Raleigh, North Carolina, 27604",Wake County,35.8107952750304,-78.5648291163078
41-3569236,Global Opportunity & Relief Foundation,"1220 SE MAYNARD RD STE 201, CARY, NC 27511-6944",Human Services,Emergency Assistance,"1220 SE Maynard Rd, Ste 201, Cary, North Carolina, 27511",Wake County,35.7845969190083,-78.7634212893416
41-3629401,Feathers Studio,"1809 CASTLEBURG DR, APEX, NC 27523-5180","Arts, Culture and Humanities",Arts Education,"1809 Castleburg Dr, Apex, North Carolina, 27523",Wake County,35.7595881751399,-78.8700673008828
41-3632186,Rene Lillian Greco Foundation,"3528 HAMILTON ML DR, RALEIGH, NC 27616-9007","Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,"3528 Hamilton Mill Dr, Raleigh, North Carolina, 27616",Wake County,35.8796798917423,-78.5123781015926
41-3633650,Uniquely Purposed,"2155 SUNNY CV DR, RALEIGH, NC 27610-6455",Human Services,Human Service Organizations,"2155 Sunny Cove Dr, Raleigh, North Carolina, 27610",Wake County,35.7501449239426,-78.5912120636795
41-3635520,Iglesia Cristiana Vision Celestial,"7621 EAGLES RUN, ZEBULON, NC 27597-8958",Religion-Related,Christianity,"7621 Eagles Run, Zebulon, North Carolina, 27597",Wake County,35.830174030844,-78.3763945459346
41-3666935,Ncphp Foundation,"220 HORIZON DR STE 201, RALEIGH, NC 27615-4929",Mental Health and Crisis Intervention,"Mental Health Treatment F31 Psychiatric, Mental Health Hospital","220 Horizon Dr, Ste 201, Raleigh, North Carolina, 27615",Wake County,35.8833833724968,-78.6486820724794
41-3702376,Sew His Light,"5540 CENTERVIEW DR 204 811231, RALEIGH, NC 27606-8012",Human Services,Victims' Services,"5540 Centerview Dr, Ste 204, Raleigh, North Carolina, 27606",Wake County,35.7628557613249,-78.7314257228052
41-3717975,Ekosbab,"500 SAINT ALBANS DR, RALEIGH, NC 27609-6659",Youth Development,Youth Development Programs,"500 Saint Albans Dr, Raleigh, North Carolina, 27609",Wake County,35.8350426496916,-78.632081805586
41-3721653,Raleigh Oak Charter Community Circle,"321 ROCK FRST DR, RALEIGH, NC 27610-7077",Education,Parent/Teacher Group,"Rock Dr, Raleigh, North Carolina, 27610",Wake County,35.7657866736606,-78.5461314479838
41-3727688,Grove Foundation,"4030 WAKE FRST RD STE 349, RALEIGH, NC 27609-0010",Human Services,Emergency Assistance,"4030 Wake Forest Rd, #349, Raleigh, North Carolina, 27609",Wake County,35.8360969264241,-78.6140900488201
41-3733708,Giving Harvest,"14223 WYNDFIELD CIR, RALEIGH, NC 27615-1318","Food, Agriculture and Nutrition","Food, Agriculture, and Nutrition N.E.C.","14223 Wyndfield Cir, Raleigh, North Carolina, 27615",Wake County,35.9229978326504,-78.6557129560856
41-3752245,Amala International Mission,"1950 GRISDALE LN APT 154, CARY, NC 27513-3961",Religion-Related,Christianity,"1950 Grisdale Ln, Cary, North Carolina, 27513",Wake County,35.8001363100429,-78.8155857068018
41-3769600,Willow Spring High School Dance Boosters,"1704 OLD HONEYCUTT RD, FUQUAY VARINA, NC 27526-8977",Recreation and Sports,Fund Raising and Fund Distribution,"1704 Old Honeycutt Rd, Fuquay Varina, North Carolina, 27526",Wake County,35.575299,-78.737139
41-3816390,Mcduffie Oral Health Access Foundation,"10909 ASHLAND ML CT, RALEIGH, NC 27617-7765",Health Care,Health Support Services,"10909 Ashland Mill Ct, Raleigh, North Carolina, 27617",Wake County,35.9152154013216,-78.8024685363839
41-3825350,Carolina Hockey Alumni Association,"9305 LEESVILLE RD STE 301, RALEIGH, NC 27613-7606",Recreation and Sports,Amateur Sports,"9305 Leesville Rd, Raleigh, North Carolina, 27613",Wake County,35.9001370907439,-78.7254732838303
41-3835509,Scripture Heritage,"305 OAKMERE DR, CARY, NC 27513-4202",Religion-Related,Christianity,"305 Oakmere Dr, Cary, North Carolina, 27513",Wake County,35.7738188201569,-78.8074856646083
41-3858555,The Sunshine Center Of Wake County,"1120 TOPSAIL CMN DR APT 203, KNIGHTDALE, NC 27545-7112",Human Services,Human Services N.E.C.,"1120 Topsail Common Dr, Apt 203, Knightdale, North Carolina, 27545",Wake County,35.7928847402044,-78.5025657122746
41-3947810,Collective Threads Initiative,"4030 WAKE FRST RD STE 349, RALEIGH, NC 27609-0010","Civil Rights, Societal Action and Advocacy",Women's Rights,"4030 Wake Forest Rd, #349, Raleigh, North Carolina, 27609",Wake County,35.8360969264241,-78.6140900488201
41-3961271,Sanderson Afjrotc Nc-939 Boosters,"5500 DIXON DR, RALEIGH, NC 27609-4202",Education,"Student Services, Organizations of Students","5500 Dixon Dr, Raleigh, North Carolina, 27609",Wake County,35.8599130045007,-78.6484982891983
41-3983986,Rooted Youth,"620 WINTER BREEZE CT, CARY, NC 27513-6696",Youth Development,Youth Development - Agricultural,"620 Winter Breeze Ct, Cary, North Carolina, 27513",Wake County,35.7990335429908,-78.7623607648742
